Month,Year,Event_name,Event_count
September,2022,page_view,296
September,2022,scroll,170
September,2022,session_start,126
September,2022,first_visit,72
September,2022,user_engagement,39
September,2022,click,14
October,2022,page_view,564
October,2022,scroll,259
October,2022,session_start,246
October,2022,first_visit,121
October,2022,user_engagement,65
November,2022,page_view,744
November,2022,session_start,230
November,2022,scroll,134
November,2022,first_visit,94
November,2022,user_engagement,63
December,2022,page_view,302
December,2022,session_start,102
December,2022,scroll,55
December,2022,first_visit,52
December,2022,user_engagement,21
December,2022,click,2
