Month,Year,Nth_day,Daily_Users,New_users,Average_engagement_time,Active_user_trend_30_Days,Active_user_trend_7_Days,Active_user_trend_1_Day
September,2022,0000,2,1,4.5,40,23,2
September,2022,0001,3,1,11.666666666666666,41,24,3
September,2022,0002,1,1,0,42,25,1
September,2022,0003,5,4,64,46,23,5
September,2022,0004,2,1,98.5,47,22,2
September,2022,0005,1,0,0,47,12,1
September,2022,0006,1,0,0,47,10,1
September,2022,0007,4,3,52.25,50,12,4
September,2022,0008,1,0,0,50,10,1
September,2022,0009,0,0,0,50,9,0
September,2022,0010,5,4,99,54,9,5
September,2022,0011,3,2,0,56,10,3
September,2022,0012,2,1,42.5,57,11,2
September,2022,0013,2,2,51.5,59,13,2
September,2022,0014,2,0,2.5,56,11,2
September,2022,0015,3,3,3.3333333333333335,58,14,3
September,2022,0016,0,0,0,58,14,0
September,2022,0017,3,2,0,59,12,3
September,2022,0018,1,1,0,60,11,1
September,2022,0019,3,2,8,53,12,3
September,2022,0020,1,0,0,50,10,1
September,2022,0021,1,1,61,51,10,1
September,2022,0022,1,0,0,51,7,1
September,2022,0023,2,1,7,52,8,2
September,2022,0024,4,3,21.75,55,9,4
September,2022,0025,2,1,4,56,9,2
September,2022,0026,31,26,12.709677419354838,77,37,31
September,2022,0027,9,6,6.555555555555555,81,43,9
September,2022,0028,8,3,51.375,77,45,8
September,2022,0029,4,3,22.75,78,48,4
October,2022,0000,5,3,0.8,80,50,5
October,2022,0001,7,6,11.857142857142858,84,53,7
October,2022,0002,2,1,3,84,54,2
October,2022,0003,18,13,21.22222222222222,94,43,18
October,2022,0004,7,5,111,98,43,7
October,2022,0005,1,0,0,98,39,1
October,2022,0006,1,0,0,98,36,1
October,2022,0007,0,0,0,95,32,0
October,2022,0008,10,6,49.5,102,35,10
October,2022,0009,10,7,199.6,109,42,10
October,2022,0010,3,0,201.33333333333334,105,26,3
October,2022,0011,7,4,31.714285714285715,107,24,7
October,2022,0012,2,0,75.5,106,24,2
October,2022,0013,10,8,101.5,112,32,10
October,2022,0014,6,1,15.5,113,34,6
October,2022,0015,11,6,6.545454545454546,116,31,11
October,2022,0016,4,2,8.25,118,28,4
October,2022,0017,4,0,7.75,117,27,4
October,2022,0018,8,4,69.125,120,28,8
October,2022,0019,2,0,84.5,118,27,2
October,2022,0020,8,4,219,122,25,8
October,2022,0021,1,1,94,122,24,1
October,2022,0022,5,4,136.6,126,22,5
October,2022,0023,1,0,0,125,20,1
October,2022,0024,3,2,115.33333333333333,124,21,3
October,2022,0025,2,2,200.5,126,18,2
October,2022,0026,8,2,38.625,108,22,8
October,2022,0027,34,30,34.76470588235294,134,49,34
October,2022,0028,5,4,84.6,135,52,5
October,2022,0029,6,3,53.333333333333336,135,51,6
October,2022,0030,3,3,29.666666666666668,134,54,3
