# ----------------------------------------
# Report CSV Export
# Account: Dot.alert()
# Property: Visitors and views
# ----------------------------------------
#  
# Start date: 20230101
# End date: 20230131
Nth day,Users,,,,,
0000,3,,,,,
0001,2,,,,,
0002,3,,,,,
0003,4,,,,,
0004,2,,,,,
0005,4,,,,,
0006,1,,,,,
0007,6,,,,,
0008,6,,,,,
0009,7,,,,,
0010,5,,,,,
0011,5,,,,,
0012,2,,,,,
0013,2,,,,,
0014,10,,,,,
0015,5,,,,,
0016,9,,,,,
0017,6,,,,,
0018,6,,,,,
0019,5,,,,,
0020,2,,,,,
0021,7,,,,,
0022,8,,,,,
0023,4,,,,,
0024,6,,,,,
0025,7,,,,,
0026,6,,,,,
0027,11,,,,,
0028,14,,,,,
0029,6,,,,,
0030,9,,,,,
# Start date: 20230101
# End date: 20230131
Nth day,New users,,,,,
0000,0,,,,,
0001,1,,,,,
0002,2,,,,,
0003,1,,,,,
0004,0,,,,,
0005,2,,,,,
0006,1,,,,,
0007,4,,,,,
0008,3,,,,,
0009,5,,,,,
0010,4,,,,,
0011,0,,,,,
0012,0,,,,,
0013,0,,,,,
0014,5,,,,,
0015,2,,,,,
0016,5,,,,,
0017,1,,,,,
0018,1,,,,,
0019,0,,,,,
0020,0,,,,,
0021,3,,,,,
0022,5,,,,,
0023,0,,,,,
0024,4,,,,,
0025,2,,,,,
0026,3,,,,,
0027,6,,,,,
0028,4,,,,,
0029,4,,,,,
0030,1,,,,,
# Start date: 20230101
# End date: 20230131
Nth day,Average engagement time,,,,,
0000,57.333333333333336,,,,,
0001,2.5,,,,,
0002,85,,,,,
0003,374.75,,,,,
0004,6,,,,,
0005,396.75,,,,,
0006,82,,,,,
0007,26.833333333333332,,,,,
0008,28.5,,,,,
0009,144.28571428571428,,,,,
0010,3.6,,,,,
0011,244.6,,,,,
0012,164,,,,,
0013,206.5,,,,,
0014,63.5,,,,,
0015,64,,,,,
0016,123,,,,,
0017,296.1666666666667,,,,,
0018,104.66666666666667,,,,,
0019,156.8,,,,,
0020,91,,,,,
0021,63.714285714285715,,,,,
0022,80.875,,,,,
0023,75.75,,,,,
0024,345.1666666666667,,,,,
0025,147.71428571428572,,,,,
0026,191.16666666666666,,,,,
0027,225.45454545454547,,,,,
0028,246.14285714285714,,,,,
0029,62.5,,,,,
0030,46.888888888888886,,,,,
# Start date: 20230101
# End date: 20230131
Nth day,Total revenue,,,,,
#  
#  
# Where do your new users come from?
