# ----------------------------------------
# Report CSV Export
# Account: Dot.alert()
# Property: Visitors and views
# ----------------------------------------
#  
# Start date: 20220901
# End date: 20220930
Nth day,Users,,,,,
0000,2,,,,,
0001,3,,,,,
0002,1,,,,,
0003,5,,,,,
0004,2,,,,,
0005,1,,,,,
0006,1,,,,,
0007,4,,,,,
0008,1,,,,,
0009,0,,,,,
0010,5,,,,,
0011,3,,,,,
0012,2,,,,,
0013,2,,,,,
0014,2,,,,,
0015,3,,,,,
0016,0,,,,,
0017,3,,,,,
0018,1,,,,,
0019,3,,,,,
0020,1,,,,,
0021,1,,,,,
0022,1,,,,,
0023,2,,,,,
0024,4,,,,,
0025,2,,,,,
0026,31,,,,,
0027,9,,,,,
0028,8,,,,,
0029,4,,,,,
# Start date: 20220901
# End date: 20220930
Nth day,New users,,,,,
0000,1,,,,,
0001,1,,,,,
0002,1,,,,,
0003,4,,,,,
0004,1,,,,,
0005,0,,,,,
0006,0,,,,,
0007,3,,,,,
0008,0,,,,,
0009,0,,,,,
0010,4,,,,,
0011,2,,,,,
0012,1,,,,,
0013,2,,,,,
0014,0,,,,,
0015,3,,,,,
0016,0,,,,,
0017,2,,,,,
0018,1,,,,,
0019,2,,,,,
0020,0,,,,,
0021,1,,,,,
0022,0,,,,,
0023,1,,,,,
0024,3,,,,,
0025,1,,,,,
0026,26,,,,,
0027,6,,,,,
0028,3,,,,,
0029,3,,,,,
# Start date: 20220901
# End date: 20220930
Nth day,Average engagement time,,,,,
0000,4.5,,,,,
0001,11.666666666666666,,,,,
0002,0,,,,,
0003,64,,,,,
0004,98.5,,,,,
0005,0,,,,,
0006,0,,,,,
0007,52.25,,,,,
0008,0,,,,,
0009,0,,,,,
0010,99,,,,,
0011,0,,,,,
0012,42.5,,,,,
0013,51.5,,,,,
0014,2.5,,,,,
0015,3.3333333333333335,,,,,
0016,0,,,,,
0017,0,,,,,
0018,0,,,,,
0019,8,,,,,
0020,0,,,,,
0021,61,,,,,
0022,0,,,,,
0023,7,,,,,
0024,21.75,,,,,
0025,4,,,,,
0026,12.709677419354838,,,,,
0027,6.555555555555555,,,,,
0028,51.375,,,,,
0029,22.75,,,,,
# Start date: 20220901
# End date: 20220930
Nth day,Total revenue,,,,,
#  
#  
# Where do your new users come from?
# Start date: 20220901
# End date: 20220930
First user default channel grouping,New users,,,,,
Organic Social,44,,,,,
Direct,14,,,,,
Referral,14,,,,,
#  
# Start date: 20220901
# End date: 20220930
Session default channel grouping,Sessions,,,,,
Organic Social,89,,,,,
Direct,18,,,,,
Referral,18,,,,,
Organic Search,1,,,,,
#  
# Start date: 20220901
# End date: 20220930
Country ID,Users,,,,,
AE,1,,,,,
AR,1,,,,,
AU,3,,,,,
BE,1,,,,,
BR,1,,,,,
CA,5,,,,,
CH,3,,,,,
CL,1,,,,,
CN,1,,,,,
DE,5,,,,,
DO,3,,,,,
FR,3,,,,,
GB,4,,,,,
GR,1,,,,,
HK,2,,,,,
HR,1,,,,,
IN,3,,,,,
IT,1,,,,,
NG,3,,,,,
NL,3,,,,,
NO,1,,,,,
PK,1,,,,,
PL,1,,,,,
PT,2,,,,,
RO,1,,,,,
RU,1,,,,,
SE,2,,,,,
SG,1,,,,,
SI,1,,,,,
TR,1,,,,,
US,21,,,,,
# Start date: 20220901
# End date: 20220930
Country,Users,,,,,
United States,21,,,,,
Canada,5,,,,,
Germany,5,,,,,
United Kingdom,4,,,,,
Australia,3,,,,,
Dominican Republic,3,,,,,
France,3,,,,,
India,3,,,,,
Netherlands,3,,,,,
Nigeria,3,,,,,
Switzerland,3,,,,,
Hong Kong,2,,,,,
Portugal,2,,,,,
Sweden,2,,,,,
Argentina,1,,,,,
Belgium,1,,,,,
Brazil,1,,,,,
Chile,1,,,,,
China,1,,,,,
Croatia,1,,,,,
Greece,1,,,,,
Italy,1,,,,,
Norway,1,,,,,
Pakistan,1,,,,,
Poland,1,,,,,
Romania,1,,,,,
Russia,1,,,,,
Singapore,1,,,,,
Slovenia,1,,,,,
Turkey,1,,,,,
United Arab Emirates,1,,,,,
# How are active users trending?
# Start date: 20220901
# End date: 20220930
Nth day,30 days,7 days,1 day,,,
0000,40,23,2,,,
0001,41,24,3,,,
0002,42,25,1,,,
0003,46,23,5,,,
0004,47,22,2,,,
0005,47,12,1,,,
0006,47,10,1,,,
0007,50,12,4,,,
0008,50,10,1,,,
0009,50,9,0,,,
0010,54,9,5,,,
0011,56,10,3,,,
0012,57,11,2,,,
0013,59,13,2,,,
0014,56,11,2,,,
0015,58,14,3,,,
0016,58,14,0,,,
0017,59,12,3,,,
0018,60,11,1,,,
0019,53,12,3,,,
0020,50,10,1,,,
0021,51,10,1,,,
0022,51,7,1,,,
0023,52,8,2,,,
0024,55,9,4,,,
0025,56,9,2,,,
0026,77,37,31,,,
0027,81,43,9,,,
0028,77,45,8,,,
0029,78,48,4,,,
# How well do you retain your users?
# Start date: 20220828
# End date: 20221008
Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
28 Aug - 3 Sept,23,0,0,0,4,1
4 Sept - 10 Sept,8,1,0,0,0,-1
11 Sept - 17 Sept,12,0,0,0,-1,-1
18 Sept - 24 Sept,7,0,0,-1,-1,-1
25 Sept - 1 Oct,45,5,-1,-1,-1,-1
2 Oct - 8 Oct,25,-1,-1,-1,-1,-1
#  
# Start date: 20220901
# End date: 20220930
Page title and screen class,Views,,,,,
Welcome! - Dot.alert(),76,,,,,
Monthly quizzes - Dot.alert(),64,,,,,
1.Acquisition - Dot.alert(),21,,,,,
Our mission - Dot.alert(),19,,,,,
Our platform - Dot.alert(),19,,,,,
4.Social support - Dot.alert(),14,,,,,
2.Storage - Dot.alert(),12,,,,,
Our contributors - Dot.alert(),9,,,,,
3.Operations - Dot.alert(),7,,,,,
5.Regulations - Dot.alert(),6,,,,,
Address formats - Dot.alert(),6,,,,,
Existential deposits - Dot.alert(),6,,,,,
JSON backups - Dot.alert(),6,,,,,
Seed/Secret phrases - Dot.alert(),6,,,,,
Jobs - Dot.alert(),4,,,,,
Docs - Dot.alert(),3,,,,,
Open Source license - Dot.alert(),3,,,,,
Our supporters - Dot.alert(),3,,,,,
Transaction explorers - Dot.alert(),3,,,,,
Bidding - Dot.alert(),2,,,,,
Cookie policy - Dot.alert(),2,,,,,
Parachain slot lease - Dot.alert(),2,,,,,
Social channels - Dot.alert(),2,,,,,
Kappa Sigma Mu (KÎ£M) membership - Dot.alert(),1,,,,,
#  
# Start date: 20220901
# End date: 20220930
Event name,Event count,,,,,
page_view,296,,,,,
scroll,170,,,,,
session_start,126,,,,,
first_visit,72,,,,,
user_engagement,39,,,,,
click,14,,,,,
# What are your top conversions?
# Start date: 20220901
# End date: 20220930
Event name,Conversions,,,,,
#  
# Start date: 20220901
# End date: 20220930
Item name,E-commerce purchases,,,,,
# How does activity on your platforms compare?
# Start date: 20220901
# End date: 20220930
Platform,Conversions,,,,,
