Month,Year,Country,Users
September,2022,United States,21
September,2022,Canada,5
September,2022,Germany,5
September,2022,United Kingdom,4
September,2022,Australia,3
September,2022,Dominican Republic,3
September,2022,France,3
September,2022,India,3
September,2022,Netherlands,3
September,2022,Nigeria,3
September,2022,Switzerland,3
September,2022,Hong Kong,2
September,2022,Portugal,2
September,2022,Sweden,2
September,2022,Argentina,1
September,2022,Belgium,1
September,2022,Brazil,1
September,2022,Chile,1
September,2022,China,1
September,2022,Croatia,1
September,2022,Greece,1
September,2022,Italy,1
September,2022,Norway,1
September,2022,Pakistan,1
September,2022,Poland,1
September,2022,Romania,1
September,2022,Russia,1
September,2022,Singapore,1
September,2022,Slovenia,1
September,2022,Turkey,1
September,2022,United Arab Emirates,1
October,2022,United States,45
October,2022,Nigeria,19
October,2022,Canada,9
October,2022,United Kingdom,7
October,2022,Germany,4
October,2022,Mexico,4
October,2022,Belgium,3
October,2022,Brazil,3
October,2022,Dominican Republic,3
October,2022,India,3
October,2022,Indonesia,3
October,2022,Netherlands,3
October,2022,Spain,3
October,2022,Australia,2
October,2022,Austria,2
October,2022,Bulgaria,2
October,2022,Pakistan,2
October,2022,Poland,2
October,2022,Taiwan,2
October,2022,Thailand,2
October,2022,Venezuela,2
October,2022,Argentina,1
October,2022,Cape Verde,1
October,2022,Croatia,1
October,2022,Czechia,1
October,2022,Denmark,1
October,2022,France,1
October,2022,Georgia,1
October,2022,Hong Kong,1
October,2022,Italy,1
October,2022,Japan,1
October,2022,Philippines,1
October,2022,Portugal,1
October,2022,Serbia,1
October,2022,Switzerland,1
October,2022,Vietnam,1
November,2022,United States,25
November,2022,Nigeria,22
November,2022,United Kingdom,10
November,2022,India,6
November,2022,Canada,5
November,2022,Bulgaria,4
November,2022,Germany,4
November,2022,Australia,3
November,2022,Brazil,3
November,2022,France,3
November,2022,Poland,3
November,2022,Mexico,2
November,2022,Spain,2
November,2022,Colombia,1
November,2022,Dominican Republic,1
November,2022,Egypt,1
November,2022,Greece,1
November,2022,Ireland,1
November,2022,Italy,1
November,2022,Japan,1
November,2022,Netherlands,1
November,2022,New Zealand,1
November,2022,Pakistan,1
November,2022,Peru,1
November,2022,Puerto Rico,1
November,2022,Romania,1
November,2022,Russia,1
November,2022,South Korea,1
November,2022,Turkey,1
December,2022,Nigeria,16
December,2022,Netherlands,6
December,2022,Australia,5
December,2022,United States,4
December,2022,Germany,3
December,2022,United Kingdom,3
December,2022,Canada,2
December,2022,Poland,2
December,2022,Singapore,2
December,2022,South Korea,2
December,2022,Belgium,1
December,2022,Croatia,1
December,2022,Cyprus,1
December,2022,France,1
December,2022,India,1
December,2022,Indonesia,1
December,2022,Israel,1
December,2022,Italy,1
December,2022,Nepal,1
December,2022,Serbia,1
December,2022,Spain,1
December,2022,Sweden,1
December,2022,Switzerland,1
December,2022,Thailand,1
December,2022,United Arab Emirates,1
December,2022,Vietnam,1
