Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
28 Aug - 3 Sept,23,0,0,0,4,1
4 Sept - 10 Sept,8,1,0,0,0,-1
11 Sept - 17 Sept,12,0,0,0,-1,-1
18 Sept - 24 Sept,7,0,0,-1,-1,-1
25 Sept - 1 Oct,45,5,-1,-1,-1,-1
2 Oct - 8 Oct,25,-1,-1,-1,-1,-1
9 Oct - 15 Oct,26,5,2,-1,-1
16 Oct - 22 Oct,17,0,-1,-1,-1
23 Oct - 29 Oct,44,-1,-1,-1,-1
30 Oct - 5 Nov,15,0,0,0,-1,-1
6 Nov - 12 Nov,11,0,0,-1,-1,-1
13 Nov - 19 Nov,31,2,-1,-1,-1,-1
20 Nov - 26 Nov,27,-1,-1,-1,-1,-1
27 Nov - 3 Dec,21,0,-1,-1,-1,
4 Dec - 10 Dec,33,-1,-1,-1,-1,
