Month,Year,Channel,New_users
September,2022,Organic Social,44
September,2022,Direct,14
September,2022,Referral,14
October,2022,Direct,59
October,2022,Organic Social,56
October,2022,Referral,5
October,2022,Organic Search,1
November,2022,Direct,55
November,2022,Organic Social,31
November,2022,Organic Search,7
November,2022,Referral,1
December,2022,Direct,81
December,2022,Organic Social,32
December,2022,Referral,6
December,2022,Organic Search,5
January,2023,Direct,43
January,2023,Organic Social,15
January,2023,Organic Search,7
January,2023,Referral,4
